brand,url,product,img,type
TEC,http://www.tecspecialty.com/products/grouts/traditional-grout/AccuColor-Premium-Unsanded-Grout.html#.V8iPcqMm6po,Accu Color Premium Unsanded Grout,tec/TEC+AccuColor+Unsanded+Grout.jpg,grout
TEC,http://www.tecspecialty.com/products/grouts/advance-performance-grout/Power-Grout-Ultimate-Performance-Grout.html#.V8iPiaMm6po,Power Grout,tec/PowerGrout.jpg,grout
TEC,http://www.tecspecialty.com/products/caulks/siliconized-caulk/AccuColor-Siliconized-Sanded-Acrylic-Caulk.html#.V8iRnKMm6po,AccuColor Silconized Acrylic Sanded Caulk,tec/TEC-accucolor-sanded-grout.jpg,grout
TEC,http://www.tecspecialty.com/products/caulks/siliconized-caulk/AccuColor-Siliconized-Unsanded-Acrylic-Caulk.html#.V8iR8KMm6po,AccuColor Silconized Acrylic Unsanded Caulk,tec/TEC+Accucolor+unsanded+caulk.jpg,grout
TEC,http://www.tecspecialty.com/products/caulks/silicone-sealant/AccuColor-100-100-Silicone-Sealant.html#.V8iSEaMm6po,AccuColor 100 100% Silicone Sealant,tec/tecs-TA150_AccuColor-1001.jpg,grout
Bostik,https://surfaceartinc.com/product-brochures/55-quartzlock2-specs/file.html,Quartzlock2 Rapidcure Urethane Grout,Dimension Rapdicure Glass Filled Urethane Grout.jpg,grout
Bostik,http://www.buildsite.com/pdf/bostik/Dimension-RapidCure-Product-Data-1428059.pdf,Dimension Rapdicure Glass Filled Urethane Grout,Quartzlock2 Rapidcure Urethane Grout.jpg,grout
Wedi,/pdf/Fundo.pdf,Fundo Pan,wedi/fundo pan.png,shower
Wedi,/pdf/eco bath.pdf,EcoBath Pan,wedi/ecobath pan.png,shower
Wedi,/pdf/ligno.pdf,Ligno Pan,wedi/ligno.png,shower
Wedi,/pdf/Riolito.pdf,Riolito Pan,wedi/riolito pan.png,shower
Wedi,/pdf/riolito neo modular.pdf,Riolito Neo Modular Pan,wedi/riolito neo modular pan.png,shower
Durock,https://www.usg.com/content/usgcom/en/products-solutions/products/tile-and-flooring-installation/shower-system/usg-durock-shower-system.html,Durock Shower System,durock/durock shower system.png,shower
Laticrete,https://laticrete.com/~/media/datasheets/lds0310.ashx,Hydro Ban Shower,laticrete/hydro ban shower.png,shower
TileWare,http://tilewareproducts.com,Shower Hardware Accessories,tileware.JPG,shower
SunTouch,http://www.suntouch.com/,Floor Heating Systems,tile manufacturer logos/sun touch logo.png,heated-floors
Prodeso,http://www.progressprofiles.com/english/mostra_scheda.php?key=Riq8aTqeWM&key_prod=PDESH,Floor Heating Underlayment,tile manufacturer logos/prodeso.jpg,heated-floors
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/polymer-modified-mortar/252-silver,252 Silver,laticrete/252-silver.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/polymer-modified-mortar/253-gold,253 Gold,laticrete/253 gold.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/polymer-modified-mortar/254-platinum,254 Platinum,laticrete/254 plantinum.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/large-and-heavy-tile-mortar/255-multimax,255 MultiMax,laticrete/255 multimax.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/large-and-heavy-tile-mortar/4-xlt,4-XLT,laticrete/4-xlt.png,thinsets
Laticrete,https://laticrete.com/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/large-and-heavy-tile-mortar/4-xlt-rapid,4-XLT Rapid Set,laticrete/4-xlt rapid.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/large-and-heavy-tile-mortar/lht,LHT,laticrete/LHT.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/large-and-heavy-tile-mortar/tri-lite,TRI-LITE,laticrete/tri-lite.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/polymer-modified-mortar/sure-set,Sure Set,laticrete/sure set.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/polymer-modified-mortar/glass-tile-adhesive,Glass Tile Adhesive Mortar,laticrete/glass tile adhesive mortar.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/unmodified-mortar/317-floor--wall,317 Floor and Wall Unmodified,laticrete/317.png,thinsets
Laticrete,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/adhesives-and-mortars/mastic/15-premium-mastic,15 Premium Mastic,laticrete/15 Premium Mastic.png,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/polymer-modified-mortars/Sturdi-Flex-Thin-Set-Mortar.html#.V8iKaqMm6po,Sturdi Flex,tec/TEC+Sturdi+Flex.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/polymer-modified-mortars/Full-Flex-Premium-Thin-Set-Mortar.html#.V8iKpqMm6po,Full Flex,tec/TEC-full-flex-v2.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/polymer-modified-mortars/Super-Flex-Ultra-Premium-Thin-Set-Mortar.html#.V8iK1aMm6po,Superflex,tec/TEC-superflex.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/polymer-modified-mortars/Ultimate-Large-Tile-Mortar.html#.V8iLNKMm6po,Ultimate Large Tile Mortar,tec/TEC-ultimate-large-tile.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/polymer-modified-mortars/3N1-Performance-Mortar.html#.V8iLAaMm6po,3N1,tec/tec-3n1-detail.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mortars-and-mortar-additives/dry-set-mortars/Uncoupling-Membrane-Mortar.html#.V8iLaaMm6po,Uncoupling Mortar,tec/TEC-uncoupling-mortar.jpg,thinsets
TEC,http://www.tecspecialty.com/products/mastics/Ceramic-Tile-Adhesive-.html?lang=English#.V8iO16Mm6po,TA-101 Mastic,tec/TA101-mastic.jpg,thinsets
Barwalt,http://www.barwalt.com/,The precision tool company,tools/barwalt.png,tools
Dewalt,http://www.dewalt.com/products/power-tools/saws/tile-saws,Tile Saws,tools/dewalt.png,tools
DTA,http://www.dtausagroup.com/,"Tiling Tools, Accessories & Floor Trims",tools/dta.png,tools
Gundlach,http://www.benojgundlachco.com/,Quality products since 1927,tools/gundlach.png,tools
Husqvarna,http://www.husqvarna.com/us/construction/products/masonry-and-tile-saws-product-range/,Tile Saws,tools/husqvarna.png,tools
Raimondi,http://www.raimondiusa.com/all_products.html,Donnelly Distribution LLC,tools/raimondi.png,tools
James Hardie,https://www.jameshardie.com/products/hardiebacker-cement-board,"3'x5'x1/4"" & 3'x5'x1/2"" HardieBacker",underlayment-logos/jh-logo2x.png,underlayments
USG,https://www.usg.com/content/usgcom/en/products-solutions/products/tile-and-flooring-installation/backerboards/usg-fiberock-underlayment.html,"3'x5'x1'4"" & 4'x4'x1/4"" Fiberock",underlayment-logos/usg-logo-trans.png,underlayments
National Gypsum,https://www.nationalgypsum.com/products/Product.aspx?ProductID=2367,"3'x5'x1/4"", 3'x5'x1/2"" PermaBase UltraBacker",underlayment-logos/national-gypsum-logo.gif,underlayments
Strata Mat,https://laticrete.com/en/our-products/tile-and-stone-installation-and-maintenance/uncoupling/strata_mat,Strata Mat,underlayment-logos/strata-mat-logo.png,underlayments
